"Priority
Rank",Field #,Field Name,Business Name,Business Definition,"Valid Values 
(Note:  The values provided are examples only and may not be a complete list of values)","Field
Type",Length,"Start 
Pos","End 
Pos","Digits if 
numeric","Decimals if 
numeric",NCPDP D.0 Field #,NCPDP D.0 Field Name,NCPDP D.0 Field Description
1,1,RECORDID,Record Identifier,"The number assigned to the record for identification purposes. All detail records are assigned ""02.""","""02""",A,2,1,2,0,0,,,
1,2,RXCLAIMNBR,RxCLAIM Number,"A system-generated number assigned to each submitted transaction on the claims processing system. This number acts as a date and uniquely identifies a claim in the system.

The RXCLAIMNBR, CLMSEQNBR, and CLAIMSTS fields are used to associate records in the Supplemental and Compound MCEF files to the claims in the Standard MCEF file.","Pos 1-2 = Year
Pos 3-5 = Julian day of the original sequence
Pos 6-12 = RxCLAIM-generated number
Pos 13-15 = Processor number 

Example: Claim Number 061371234567001
06 = Year 2006
137 = Julian date for May 17
1234567 = System-generated number
001 = Processor number",N,15,3,17,15,0,503-F3,Authorization Number,Number assigned by the processor to identify an authorized transaction.
1,3,CLMSEQNBR,Claim Sequence Number,"The number assigned to this particular iteration of the claim, indicating the order in which it was processed.  The sequence begins at 999, then reduces by 1:  999, 998, 997, etc. 

Multiple sequence numbers can be assigned to the same RxCLAIM number if the pharmacy, fill date, refill code and Rx number are the same.

The RXCLAIMNBR, CLMSEQNBR, and CLAIMSTS fields are used to associate records in the Supplemental and Compound MCEF files to the claims in the Standard MCEF file.

Note:  If a claim is reversed, the original claim and the reversal will have the same sequence number. ",Claims start at 999 and reduce in number,N,3,18,20,3,0,503-F3,Authorization Number,Number assigned by the processor to identify an authorized transaction.
1,4,CLAIMSTS,Claim Status Code,"The code that indicates the payment status of the claim after it has been processed. 

The RXCLAIMNBR, CLMSEQNBR, and CLAIMSTS fields are used to associate records in the Supplemental and Compound MCEF files to the claims in the Standard MCEF file.

Example: If a claim is paid, reversed, then paid within the weekly time frame of Saturday 00:00:01 – Friday 24:00:00, the MCEF only displays the last paid transaction. The MCEF does not display the previous paid and reversal. ",See the Claim Status tab.,A,1,21,21,0,0,112-AN,Transaction Response Status,Code indicating the status of the transaction.
1,5,CARRIERID,Carrier ID,"The identifier assigned to the insurance company or HMO that offers and underwrites the health plan.  The carrier is the highest level within the claims processing system hierarchy. All accounts, groups and members fall within the carrier.",,A,9,22,30,0,0,,,
3,6,SCARRIERID,Carrier ID Override,"The identifier for the network carrier that owns the pharmacy network and/or product override. When processing the claim, the system will read the override carrier to find the pharmacy network and/or product override, but will continue to process under the current carrier.  A product override would be necessary if the client needs to override any values that Medi-Span had assigned to the product. ",Prime does not use this functionality.,A,9,31,39,0,0,,,
5,7,CARRPROC,Processor Identifier,Field is not currently used. ,Contains only zeroes. ,N,10,40,49,10,0,,,
1,8,ACCOUNTID,Account ID,"The identifier assigned to the second level of the claims processing system hierarchy. This level is generally used for reporting purposes. Accounts may identify subsidiary organizations within the main client plan, regional areas within which the client operates or other major breakouts within the client carrier.",,A,15,50,64,0,0,,,
5,9,ACCTBENCDE,Account Benefit Code,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,10,65,74,0,0,,,
4,10,VERSIONNBR,Version Release Number,The NCPDP version/release number of the rules used to process this claim. This number also identifies the format of the transaction.,"3A = Standard Claim/Reversal
3B = Workers Compensation
3C = Medicaid Claim/Reversal
32 = Version 3.2
50 = Version 5.0
51 = Version 5.1
D0 = Version D.0

Additional values are expected for Medicare. For example, N1 transactions will have either C1 or C2.",A,2,75,76,0,0,102-A2,Version/Release Number,Code uniquely identifying the transmission syntax and corresponding Data Dictionary.
1,11,GROUPID,Group ID,The identifier assigned to the third level of the claims processing system hierarchy - below carrier and account. Each account may be broken down into multiple groups representing individuals or groups of employees. The group number links a member to the appropriate benefit plan for claims processing. ,,A,15,77,91,0,0,,,
2,12,GROUPPLAN,Group Plan Code,"The benefit plan identifier associated to the group for its members' eligibility, and sent via the group's eligibility file.",,A,10,92,101,0,0,,,
2,13,GRPCLIBENF,Group Client Benefit Code,The identifier used to keep accumulator dollars with the correct member if the member changes membership levels.  The identifier also is used to categorize different groups together for reporting purposes.  The Group Client Benefit Code (CBC) is sent to Prime on the eligibility files. Field is used for clients who elect to submit Group CBC in the eligibility group file.,,A,10,102,111,0,0,,,
5,14,GROUPSIC,Group SIC Code,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,4,112,115,0,0,,,
4,15,CLMRESPSTS,Claim Response Status Code,"The code that indicates the claim's status when Prime sent response back to the pharmacy. 

Note:  Refer to the CLAIMSTS field (#4) definition and valid values for more information about the status code that applied after the claim was processed.  ","C = Captured - Code indicating that the transaction had been captured
P = Paid - Code indicating that the transaction has been processed using plan rules and was paid
R = Rejected - Code indicating that the transaction has been denied/rejected
A = Reversal Accepted - Code indicating that the claim reversal has been accepted
B = Benefit - Code indicating benefit information returned
D = Duplicate of Paid - Code indicating that the transaction was paid in a previously submitted transaction
F = PA Deferred - Code indicating that the prior authorization transaction cannot be processed until additional information is obtained
Q = Duplicate of Capture - Code indicating that the transaction had been previously captured
S = Duplicate of Approved - Code indicating that the transaction was previously approved",A,1,116,116,0,0,112-AN ,Transaction Response Status,Code indicating the status of the transaction.
1,16,MEMBERID,Member ID,The identifier assigned a member within a group based on the eligibility file submitted by the client.,,A,20,117,136,0,0,,,
1,17,MBRLSTNME,Member Last Name,The member's last name based on the eligibility file submitted by the client.,,A,25,137,161,0,0,,,
1,18,MBRFSTNME,Member First Name,The member's first name based on the eligibility file submitted by the client.,,A,15,162,176,0,0,,,
1,19,MBRMDINIT,Member Middle Initial,The member's middle initial based on the eligibility file submitted by the client.,,A,1,177,177,0,0,,,
1,20,MBRPRSNCDE,Member Person Code,The identification code assigned to a specific person within a family (or cardholder). Person code is optionally used in conjunction with the cardholder ID number to uniquely identify family members within the cardholder ID number (last 2 digits of the card ID).,,A,3,178,180,0,0,,,
1,21,MBRRELCDE,Member Relationship Code,The member's connection to the cardholder or subscriber. ,"1 = Cardholder
2 = Spouse
3 = Dependent
4 = Other
0 or blanks = Unspecified: map to a value of ""U"" for unspecified.",A,1,181,181,0,0,306-C6,Patient Relationship Code,Code indicating relationship of patient to cardholder.
1,22,MBRSEX,Member Gender Code,The gender of the member.,"M = Male
F = Female",A,1,182,182,0,0,305-C5,Patient Gender Code,Code indicating the gender of the individual.
1,23,MBRBIRTH,Member Date of Birth,The date of birth of the member based on the eligibility file submitted by the client.,Format = CCYYMMDD,N,8,183,190,8,0,,,
3,24,MBRAGE,Member Age - First of Month,The member's age as of the first of the month based on the eligibility file submitted by the client.. ,,N,3,191,193,3,0,,,
1,25,MBRZIP,Member Zip Code,The member's zip code based on the eligibility file submitted by the client.,,A,15,194,208,0,0,,,
2,26,SOCSECNBR,Member Social Security Number (SSN),The Social Security Number of the member based on the eligibility file submitted by the client.  ,,A,9,209,217,0,0,,,
5,27,DURKEY,Drug Utilization Review (DUR) Key,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,18,218,235,0,0,,,
2,28,DURFLAG,Member Drug Utilization Review (DUR) Process Flag,"The code that indicates whether the Drug Utilization Review (DUR) edit was used when processing claims for the member.  DUR is a system of drug use review that can detect potential adverse drug interactions, drug-pregnancy conflicts, therapeutic duplications, drug-age conflicts, etc.   ","Y = Default. DUR was used when processing the member's submitted claims.
N = DUR was not used when processing the member's submitted claims. ",A,1,236,236,0,0,,,
1,29,MBRFAMLYID,Member Family ID,"The unique identifier for the member's family within the group, based on the eligibility file submitted by the client. 

If the member's benefit includes accumulators, this field should contain a value. 

This data displays on the MCEF if it is on the member's eligibility file.",,A,20,237,256,0,0,,,
3,30,MBRFAMLIND,Member Family Indicator,"The code that indicates whether the member's benefit plan is for an individual or a family, based on the eligibility file submitted by the client.  

This data displays on the MCEF if it is on the member's eligibility file.","Blank
N = Not Family; Individual
Y = Family",A,1,257,257,0,0,,,
2,31,MBRFAMLTYP,Member Family Type,"The definition of the individuals that the subscriber selected to be covered by the pharmacy benefit.

This field is used to determine if the individual or family accumulator amounts should be used.

This data displays on the MCEF if it is on the member's eligibility file.","1 = Family
2 = Card Holder
3 = Card Holder & Spouse
4 = Card Holder & Dependents
5 = Spouse & Dependents 
6 = Dependents
7 = Spouse Only
8 = Member +1 ",A,1,258,258,0,0,,,
2,32,COBIND,Coordination of Benefits (COB) Code,The Coordination of Benefits value that indicates whether the claim was processed as primary or secondary. A claim may be processed as secondary when a person is covered under more than one group medical program. COB requires that all programs coordinate payment of benefits in order to eliminate over-insurance or duplication of benefits.,"01 = Claim processed as Primary
02 = Claim processed as Secondary, etc.

Field always contains a value. ",A,2,259,260,0,0,,,
3,33,MBRPLAN,Member Benefit Plan Code,"The benefit plan identifier associated to the member's record. Field is used for clients who elect to submit a Plan Code at the member level which would override the Plan Code sent at the group level.

Note: The member's eligibility record ties the member to the Group record. The Group record is where the benefit plan is associated to the Group, via the Group's eligibility file.

Some clients require that both their commercial and Medicare Part D members have a member plan different than the group plan.  However, all members within a given group have the same member plan.   ",,A,10,261,270,0,0,,,
5,34,MBRPRODCDE,Member Client Product Code,The Client Product Code copied from the Member file.  It is used for reporting purposes only.,,A,6,271,276,0,0,,,
5,35,MBRRIDERCD,Member Client Rider Code,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,6,277,282,0,0,,,
5,36,CARENETID,Care Network Identifier,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,10,283,292,0,0,,,
5,37,CAREQUALID,Care Qualifier Identifier,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,10,293,302,0,0,,,
2,38,CAREFACID,Care Facility ID,"The identifier of the healthcare facility that is associated with the member. A care facility may be a clinic, nursing home, or other center that provides healthcare services. Care Facility data must be submitted on member eligibility file in order for this field to be functional.

Note:  If the member's claim is from a healthcare facility that is not indicated in this field, the claim will reject.",,A,10,303,312,0,0,336-8C,Facility ID,ID assigned to the patient’s clinic/host party.
2,39,CAREFACNAM,Care Facility Name,"The name of the healthcare facility that is associated with the member. A care facility may be a clinic, nursing home, or other center that provides healthcare services. Care Facility data must be submitted on member eligibility file in order for this field to be functional.

Note:  If the member's claim is from a healthcare facility that is not indicated in this field, the claim will reject.",,A,25,313,337,0,0,,,
2,40,MBRPCPHYS,Primary Physician ID,"The Drug Enforcement Agency (DEA) identifier assigned to the member's primary medical provider.  A primary provider is the member's first point of contact for any undiagnosed health concern. Primary Physician data must be submitted on member eligibility file in order for this field to be functional.

Note:  If the plan has sent the DEA number, this field will display the value. If any other value has been sent, this field will be blank.",,A,15,338,352,0,0,,,
2,41,PPRSFSTNME,Primary Prescriber First Name,"The first name of the member's primary medical provider.  A primary provider is the member's first point of contact for any undiagnosed health concern.  Primary Physician data must be submitted on member eligibility file in order for this field to be functional.

The Primary Physician First Name displays as submitted using PRMCAREPRV field (#60) and PRMCAREPRQ field (#61).

Note:  If the plan has sent the DEA number, this field will display the value. If any other value is sent, this field will be blank.",,A,15,353,367,0,0,,,
2,42,PPRSLSTNME,Primary Prescriber Last Name,"The last name of the member's primary medical provider.  A primary provider is the member's first point of contact for any undiagnosed health concern. Primary Physician data must be submitted on member eligibility file in order for this field to be functional.

The Primary Physician Last Name  displays as submitted using PRMCAREPRV field (#60) and PRMCAREPRQ field (#61).

Note:  If the plan has sent the DEA number, this field will display the value. If any other value is sent, this field will be blank.",,A,25,368,392,0,0,,,
2,43,PPRSMDINIT,Primary Prescriber Middle Initial,"The middle initial of the member's primary medical provider. A primary provider is the member's first point of contact for any undiagnosed health concern. Primary Physician data must be submitted on member eligibility file in order for this field to be functional.

The Primary Physician Middle Initial displays as submitted using PRMCAREPRV field (#60) and PRMCAREPRQ field (#61).

Note:  If the plan has sent the DEA number, this field will display the value. If any other value has been sent, this field will be blank.",,A,1,393,393,0,0,,,
2,44,PPRSSPCCDE,Primary Prescriber Specialty Code,"The field of medicine in which the member's primary provider has specialized (e.g., urology, pediatrics, psychiatry, gynecology, geriatrics).  Primary Physician data must be submitted on member eligibility file in order for this field to be functional.

The Primary Prescriber Specialty Code displays as submitted using PRMCAREPRV field (#60) and PRMCAREPRQ field (#61). 

Note:  If the plan has sent the DEA number, this field will display the value. If any other value has been sent, this field will be blank.",,A,6,394,399,0,0,,,
